|Station|Date|Min_temp|Max_temp|Rainfall|Dir_max_wind_gust|Speed_max_wind_gust|Time_max_wind_gust|temp_9am|hum_9am|cloud_9am|wind_dir_9am|wind_speed_9am|press_9am|temp_3pm|hum_3pm|cloud_3pm|wind_dir_3pm|wind_speed_3pm|press_3pm|Month
120|CAN|29-09-2015|2.5|22.1|0.0|7|54.0|12:35|13.8|58.0|6.0|7|38|1019.6|20.3|32.0|1.0|15|30|1016.1|9
143|QUN|21-09-2015|16.1|29.0|0.0|0|48.0|17:22|22.3|55.0|6.0|11|3|1019.0|25.0|54.0|5.57425742574|1|26.0|1015.0|9
79|MAL|19-07-2015|0.6|12.1|0.0|11|19.0|13:33|2.1|89.0|6.0|5|4|1034.4|11.2|57.0|5.57425742574|12|7|1031.7|7
2|CAN|03-05-2015|7.8|23.3|0.0|12|26.0|10:17|15.6|79.0|6.0|10|19|1018.9|20.5|60.0|4.0|10|11|1016.0|5
13|CAN|14-05-2015|-4.7|14.1|0.0|3|28.0|14:43|4.0|81.0|6.0|8|23|1026.3|12.8|54.0|5.57425742574|4|19|1025.7|5
155|MAL|03-10-2015|16.3|31.3|0.0|3|50.0|13:48|22.7|37.0|6.0|4|26|1027.2|31.0|20.0|5.57425742574|7|26|1020.7|10
198|MAL|15-11-2015|13.0|18.5|0.2|11|37.0|15:05|14.6|68.0|6.0|9|4|1021.6|17.9|64.0|5.57425742574|12|17|1019.7|11
107|QUN|16-08-2015|15.1|25.1|0.0|1|37.0|13:56|19.2|63.0|6.0|11|6|1024.3|22.3|48.0|5.57425742574|2|24.0|1020.1|8
112|MAL|21-08-2015|10.9|18.7|0.0|3|56.0|18:10|15.6|47.0|6.0|4|7|1017.8|18.4|39.0|5.57425742574|4|20|1012.9|8
193|CAN|11-12-2015|10.8|27.4|0.0|14|70.0|18:34|23.0|40.0|6.0|15|7|1005.8|26.3|19.0|1.0|15|37|1003.7|12
